"","beach_id","region","council","site","longitude","latitude","date","enterococci_cfu_100ml"
"157",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"20/10/2013",3
"158",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"23/12/2013",0
"159",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"31/12/2013",68
"160",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"07/12/2013",1
"161",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"31/12/2013",420
"162",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"23/12/2013",3
"163",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"07/12/2013",9
"164",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"20/10/2013",3
"165",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"13/12/2013",25
"166",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"22/09/2013",8
"167",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"29/11/2013",9
"168",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"10/09/2013",2
"169",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"02/09/2013",1
"170",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"13/11/2013",8
"171",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"05/11/2013",34
"172",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"21/11/2013",26
"173",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"28/10/2013",33
"174",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"12/10/2013",2
"175",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"04/10/2013",11
"176",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"28/09/2013",5
"177",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"16/09/2013",1
"178",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"29/08/2013",0
"179",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"30/07/2013",0
"180",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"18/07/2013",2
"181",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"06/07/2013",0
"182",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"12/06/2013",1
"183",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"24/06/2013",59
"184",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"06/06/2013",6
"185",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"20/05/2013",0
"186",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"01/05/2013",4
"187",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"14/05/2013",4
"188",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"07/05/2013",0
"189",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"24/04/2013",4
"190",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"06/04/2013",10
"191",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"19/03/2013",0
"192",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"17/02/2013",160
"193",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"01/03/2013",56
"194",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"13/03/2013",5
"195",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"24/01/2013",45
"196",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"08/08/2013",7
"197",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"14/08/2013",1
"198",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"16/08/2013",0
"199",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"22/08/2013",27
"200",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"24/07/2013",0
"201",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"12/07/2013",9
"202",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"17/06/2013",1
"203",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"30/06/2013",4900
"204",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"31/05/2013",2
"205",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"25/05/2013",9
"206",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"18/04/2013",0
"207",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"12/04/2013",20
"208",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"25/03/2013",420
"209",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"02/04/2013",50
"210",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"07/03/2013",31
"211",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"23/02/2013",330
"212",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"11/02/2013",150
"213",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"02/01/2013",9
"214",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"06/01/2013",3
"215",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"18/01/2013",1
